batchNum,subjectIDCum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
4,1264,308,3,vertical,vertical,yes,blue,reportColor,5073.065,3781.07,1907.51,7644.755,4075.66,3239.64,above,IBstimulus_present,blue,right,33100.99
4,1265,309,0,vertical,vertical,null,null,null,3624,null,null,null,null,null,above,IBstimulus_absent,null,null,12636
4,1265,309,1,horizontal,horizontal,null,null,null,2155,null,null,null,null,null,above,IBstimulus_absent,null,null,8262
4,1265,309,2,horizontal,horizontal,null,null,null,2304,null,null,null,null,null,above,IBstimulus_absent,null,null,6218
4,1265,309,3,horizontal,horizontal,yes,blue,reportColor,4951,4692,3211,6602,5047,6184,below,IBstimulus_present,blue,left,34282
4,1266,310,0,horizontal,horizontal,null,null,null,5995,null,null,null,null,null,below,IBstimulus_absent,null,null,16390
4,1266,310,1,vertical,vertical,null,null,null,2537,null,null,null,null,null,below,IBstimulus_absent,null,null,5902
4,1266,310,2,horizontal,horizontal,null,null,null,2536,null,null,null,null,null,below,IBstimulus_absent,null,null,5580
4,1266,310,3,horizontal,horizontal,yes,red,reportColor,3338,6007,13080,8981,4541,5262,above,IBstimulus_present,red,right,44147
5,1267,0,0,vertical,vertical,null,null,null,5209.25,null,null,null,null,null,above,IBstimulus_absent,null,null,15379.48
5,1267,0,1,vertical,vertical,null,null,null,3961.53,null,null,null,null,null,above,IBstimulus_absent,null,null,8230.63
5,1267,0,2,vertical,vertical,null,null,null,2126.23,null,null,null,null,null,above,IBstimulus_absent,null,null,39397.675
5,1267,0,3,vertical,vertical,yes,blue,reportColor,2013.61,5834.155,13773.715,6029.71,3654.53,5362.095,above,IBstimulus_present,red,right,40392.015
5,1268,1,0,vertical,vertical,null,null,null,3330,null,null,null,null,null,below,IBstimulus_absent,null,null,11855
5,1268,1,1,horizontal,horizontal,null,null,null,2801,null,null,null,null,null,above,IBstimulus_absent,null,null,7470
5,1268,1,2,vertical,vertical,null,null,null,2703,null,null,null,null,null,above,IBstimulus_absent,null,null,6385
5,1268,1,3,vertical,vertical,no,red,reportColor,3596,5804,9042,4119,3716,5869,above,IBstimulus_present,blue,right,35675
5,1269,2,0,horizontal,horizontal,null,null,null,3385.715,null,null,null,null,null,below,IBstimulus_absent,null,null,12503.455
5,1269,2,1,horizontal,horizontal,null,null,null,1815.36,null,null,null,null,null,below,IBstimulus_absent,null,null,17526.955
5,1269,2,2,vertical,vertical,null,null,null,1475.42,null,null,null,null,null,below,IBstimulus_absent,null,null,5903.175
